KOD_SUKL;KOD_LATKY;SQ;S;AMNT_OD;AMNT;UN
0000009;12;1;L;;450;MG
0000009;223;2;L;;50;MG
0000009;2898;3;X;;PL;MG
0000009;1871;4;X;;PL;MG
0000113;1631;1;L;;250;MG
0000113;2624;2;X;;PL;MG
0000113;2970;3;X;;PL;MG
0000113;2855;4;X;;PL;MG
0000113;1383;5;X;;PL;MG
0000113;1871;6;X;;PL;MG
0000113;9811;7;X;;PL;MG
0000113;16784;8;X;;PL;MG
0000168;728;1;L;;25;MG
0000168;2624;2;X;;PL;MG
0000168;2970;3;X;;PL;MG
0000168;2855;4;X;;PL;MG
0000168;1871;5;X;;PL;MG
0000168;15662;6;X;;PL;MG
0000269;1190;1;L;;5;MG
0000269;2624;2;X;;PL;MG
0000269;2970;3;X;;PL;MG
0000269;3732;4;X;;PL;MG
0000269;2855;5;X;;PL;MG
0000269;1871;6;X;;PL;MG
0000269;3059;7;X;;PL;MG
0000280;1230;1;L;;20;MG
0000280;2624;2;X;;PL;MG
0000280;2970;3;X;;PL;MG
0000280;2855;4;X;;PL;MG
0000280;15662;5;X;;PL;MG
0000280;1871;6;X;;PL;MG
0000280;519;7;X;;PL;MG
0000362;545;1;L;;1,2;MG
0000362;0;2;Z;;;
0000362;543;3;O;;1;MG
0000362;2467;4;X;;PL;MG
0000362;1322;5;X;;PL;MG
0000362;20300;6;X;;;QS
0000362;2044;7;A;;1;ML
0000409;5599;1;L;;0,671;G
0000409;20300;2;X;;;QS
0000409;2044;3;A;;10;ML
0000489;1725;1;L;;10;MG
0000489;1166;2;X;;PL;MG
0000489;10060;3;X;;PL;MG
0000489;519;4;X;;PL;MG
0000489;20300;5;X;;;QS
0000489;2044;6;A;;1;ML
0000502;1489;1;L;;100;MG
0000502;1322;2;X;;PL;MG
0000502;2044;3;A;;10;ML
0000502;;4;T;;10;DF
0000536;9945;1;L;;1,8872;MG
0000536;0;2;Z;;;
0000536;825;3;O;;1;MG
0000536;2467;4;X;;PL;MG
0000536;519;5;X;;PL;MG
0000536;2044;6;A;;1;ML
0000569;9054;1;L;;0,3;MG
0000569;2624;2;X;;PL;MG
0000569;4078;3;X;;PL;MG
