KOD_LATKY;SQ;ZDROJ;NAZEV
1;1;CZ;ARTEMISIA ABSINTHIUM L., HERBA
1;2;C03S;HERBA ARTEMISIAE ABSINTHII
1;3;Y03;ABSINTHII SUMMITAS
1;4;HH5S;ABSINTHII CACUMINA FLORENTIA
1;5;C04;HERBA ABSINTHII
1;12;E03;WORMWOOD
1;19;ME;ABSINTHIUM
1;23;SLES;BITTERER BEIFUSS
1;24;SLES;WURMKRAUT
1;26;P04;HERBA ABSINTHII
1;27;DD2;HERBA ABSINTHII
1;28;S09;HERBA ABSINTHII
1;29;A11;HERBA ABSINTHII
1;30;NL5;SUMMITATES ABSINTHII
1;31;Y03S;SUMMITAS ABSINTHII
1;32;HH4S;ABSINTHII FOLIA ET SUMMITATES
1;33;CJS;HERBA ALSINAE FORTIS
1;34;CJS;HERBA RUSTICANI
1;35;CZ;HERBA CUM FLORIBUS ARTEMISIAE
1;36;CZ;NA PELYÒKOVÁ
1;37;C03S;NA PELYÒKU PRAVÉHO
1;38;CZ;PELIN
1;39;SK;VÒA PALINOVÁ
1;40;MES;LOSNA
1;41;T08;WERMUTKRAUT
1;42;HH5S;MAGENKRAUT
1;43;HH4S;ELTZKRAUT
1;44;GB;COMMON WORMWOOD
1;45;F;ARMOISE
1;46;F;ARMOISE AMERE
1;55;E12;WORMWOOD
1;56;F10;ABSINTHE
1;58;LS0;TRAVA POLYNI GOR'KOJJ
1;59;Z11;WERMUTKRAUT
1;60;C21L;PELYÒKOVÁ NA
1;61;SK;PALINOVÁ VÒA
1;62;LIF;ASSENZIO
1;65;E12M;BASAL LEAVES OR SLIGHTLY LEAFY, FLOWERING TOPS, OR OF A MIXTURE OF THESE DRIED, WHOLE OR CUT ORGANS OF ARTEMISIA ABSINTHIUM L. (ASTERACEAE)
1;90;C21M;USUŠENÉ CELÉ NEBO ØEZANÉ PØÍZEMNÍ LISTY NEBO KVETOUCÍ MÁLO OLISTÌNÉ VRCHOLKY DRUHU ARTEMISIA ABSINTHIUM L.- PELYNÌK PRAVÝ (ASTERACEAE) NEBO JEJICH SMÌS. OBSAHUJE NEJMÉNÌ 2 ML SILICE V KILOGRAMU DROGY
1;;C21;ABSINTHII HERBA
2;26;GB;NEROLI FRAGRANCE
2;55;GB;NEROLI FLAVOUR
2;60;CZ;AROMA KVÌTU CITRONÍKU POMERANÈOVÉHO HOØKÉHO
2;65;GB;MIXTURE OF NATURAL AND/OR ARTIFICIAL FLAVOURING SUBSTANCES ( E.G. CUMARIN, GERANIOL, LIMONEN AND LINALOL) HAVING THE CHARACTERISTIC FLAVOUR AND ODOUR OF BITTER ORANGE BLOSSOMS. IT CAN CONTAIN ANOTHER SUITABLE EXCIPIENTS
