KOD_SUKL;VPOIS_NAZEV_SPOLECNOSTI;VPOIS_WWW;VPOIS_EMAIL;VPOIS_TEL
0000009;Zentiva, a.s.;www.zentiva.cz;zentiva.cz@zentiva.com;+420267 241 111
0000113;Zentiva, k.s.;www.zentiva.cz;zentiva.cz@zentiva.com;+420267 241 111
0000168;Zentiva, k.s.;www.zentiva.cz;zentiva.cz@zentiva.com;+420267 241 111
0000269;Zentiva, k.s.;www.zentiva.cz;zentiva.cz@zentiva.com;+420267 241 111
0000280;Zentiva, k.s.;www.zentiva.cz;zentiva.cz@zentiva.com;+420267 241 111
0000362;Zentiva, k.s.;www.zentiva.cz;zentiva.cz@zentiva.com;+420267 241 111
0000409;BB Pharma, a.s.;https://www.bbpharma.cz/vpois;bbpharma@bbpharma.cz;+420 601 088 753
0000489;BB Pharma, a.s.;https://www.bbpharma.cz/vpois;bbpharma@bbpharma.cz;+420 601 088 753
0000502;Zentiva, k.s.;www.zentiva.cz;zentiva.cz@zentiva.com;+420267 241 111
0000536;Zentiva, k.s.;www.zentiva.cz;zentiva.cz@zentiva.com;+420267 241 111
0000569;STADA PHARMA CZ s.r.o.;http://www.stada-pharma.cz;info@stada-pharma.cz;+420 257 888 111
0000584;Zentiva, k.s.;www.zentiva.cz;zentiva.cz@zentiva.com;+420267 241 111
0000591;STADA PHARMA CZ s.r.o.;http://www.stada-pharma.cz;info@stada-pharma.cz;+420 257 888 111
0000610;BB Pharma, a.s.;https://www.bbpharma.cz/vpois;bbpharma@bbpharma.cz;+420 601 088 753
0000612;BB Pharma, a.s.;https://www.bbpharma.cz/vpois;bbpharma@bbpharma.cz;+420 601 088 753
0000616;Zentiva, k.s.;www.zentiva.cz;zentiva.cz@zentiva.com;+420267 241 111
0000641;Zentiva, k.s.;www.zentiva.cz;zentiva.cz@zentiva.com;+420267 241 111
0000643;Zentiva, k.s.;www.zentiva.cz;zentiva.cz@zentiva.com;+420267 241 111
0000707;LEO Pharma s.r.o.;http://www.leopharma.cz/Home/Kontakt.aspx;;
0000766;STADA PHARMA CZ s.r.o.;http://www.stada-pharma.cz;info@stada-pharma.cz;+420 257 888 111
0000858;Zentiva, k.s.;www.zentiva.cz;zentiva.cz@zentiva.com;+420267 241 111
0000876;Zentiva, k.s.;www.zentiva.cz;zentiva.cz@zentiva.com;+420267 241 111
0000884;STADA PHARMA CZ s.r.o.;http://www.stada-pharma.cz;info@stada-pharma.cz;+420 257 888 111
0000911;STADA PHARMA CZ s.r.o.;http://www.stada-pharma.cz;info@stada-pharma.cz;+420 257 888 111
0000943;STADA PHARMA CZ s.r.o.;http://www.stada-pharma.cz;info@stada-pharma.cz;+420 257 888 111
0000961;Leros s.r.o.;http://www.leros.cz;pharm@leros.cz, leros@leros.cz;257898111
0000965;Leros s.r.o.;http://www.leros.cz;pharm@leros.cz, leros@leros.cz;257898111
